"Paragraf, Hovedområde, Aktivitetsområde, Hovedkonto, Underkonto";"2015";"2016";"2017";"2018";"2019";"2020" 
"09210340 Gebyrer på motorområdet "; -857,0; -875,0; -860,0; -860,0; -860,0; -860,0
"09210350 Gebyrer på inddrivelsesområdet "; -25,2; -60,0; -8,0; -8,0; -8,0; -60,0
"092105 Godtgørelser mv. "; 120,0; 188,4; 293,1; 293,1; 252,5; 252,5
"09210510 Udgifter til sagkyndig bistand i skattesager "; 119,5; 187,6; 292,3; 292,3; 251,7; 251,7
"09210520 Udgifter til forsvarerbistand "; 0,5; 0,8; 0,8; 0,8; 0,8; 0,8
"092110 Delvis komp. for købsmoms almennyttige for. "; 159,5; 160,9; 161,8; 161,8; 161,8; 161,8
"09211010 Delvis komp. for købsmoms for almen. for. "; 159,5; 160,9; 161,8; 161,8; 161,8; 161,8
"092120 Spillehalspuljen "; 0,0; 80,5; 81,0; 0,0; 0,0; 0,0
"09212010 Spillehals-ordningen "; 0,0; 80,5; 81,0; 0,0; 0,0; 0,0
"092179 Reserver og budgetregulering "; 0,0; 40,6; 239,7; 239,3; 238,8; -4,2
"09217920 Reserve EFI - adm. omkostninger skattereform "; 0,0; 40,6; 0,0; 0,0; 0,0; 0,0
"09217930 Reserve EFI - Øvrig drift "; 0,0; 0,0; 60,8; 60,8; 60,8; 0,0
"09217940 Reserve vedr. styrkelsen af inddrivelsen - Lø"; 0,0; 0,0; 181,5; 181,5; 181,5; 0,0
"09217950 Negativ budgetregulering - Barselsfonden "; 0,0; 0,0; -2,6; -3,0; -3,5; -4,2
"0922 Finansforvaltning "; -279,2; -337,2; -112,2; -112,2; -112,2; -335,7
"092215 Personlige fordringer "; -260,5; -304,9; -109,9; -109,9; -109,9; -304,9
"09221530 Personlige fordringer "; -260,5; -305,0; -110,0; -110,0; -110,0; -305,0
"09221550 Bo- og gaveafgift "; 0,0; 0,1; 0,1; 0,1; 0,1; 0,1
"092221 Overtagne studielånsfordringer "; -18,7; -32,3; -2,3; -2,3; -2,3; -30,8
"09222110 Overtagne fordringer "; -18,7; -32,3; -2,3; -2,3; -2,3; -30,8
"11 Justitsministeriet "; 14153,6; 14342,3; 14442,5; 14192,4; 14049,2; 13151,5
"111 Fællesudgifter "; 364,4; 317,6; 351,4; 769,2; 752,7; 736,1
"1111 Centralstyrelsen "; 364,4; 317,6; 351,4; 769,2; 752,7; 736,1
"111101 Departementet "; 191,4; 162,5; 186,7; 183,3; 180,0; 176,7
"11110110 Almindelig virksomhed "; 172,3; 143,3; 166,4; 163,0; 159,7; 156,4
"11110120 Internationale organisationer "; 0,7; 0,7; 0,7; 0,7; 0,7; 0,7
"11110130 Midlertidige kommissioner og udvalg "; 1,5; 1,5; 1,5; 1,5; 1,5; 1,5
"11110140 Støtte til foreninger mv. "; 6,9; 6,9; 7,9; 7,9; 7,9; 7,9
"11110170 Behandling af seksualforbrydere "; 10,0; 10,1; 10,2; 10,2; 10,2; 10,2
"11110197 Andre tilskudsfinansierede aktiviteter "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"111105 Retshjælpsinstitutioner mv. "; 20,9; 21,2; 21,3; 21,3; 21,3; 21,3
"11110510 Tilskud til retshjælpsinstitutioner "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"11110530 Retshjælpsinstitutioner mv. "; 20,9; 21,2; 21,3; 21,3; 21,3; 21,3
"111111 Civilstyrelsen "; 64,2; 64,7; 72,0; 65,4; 63,8; 62,6
"11111110 Almindelig virksomhed "; 64,2; 64,6; 72,0; 65,4; 63,8; 62,6
"11111120 Statstidende "; 0,0; 0,1; 0,0; 0,0; 0,0; 0,0
"111112 Opsøgende retshjælp "; 2,5; 2,6; 2,6; 2,6; 2,6; 2,6
"11111210 Opsøgende retshjælp på gadeplan "; 2,5; 2,6; 2,6; 2,6; 2,6; 2,6
"111131 Retslægerådet "; 9,7; 9,1; 9,2; 9,2; 9,0; 8,8
"11113110 Almindelig virksomhed "; 9,7; 9,1; 9,2; 9,2; 9,0; 8,8
"111151 Politiklagemyndigheden "; 19,7; 20,5; 22,2; 21,8; 21,4; 21,0
"11115110 Almindelig virksomhed "; 19,7; 20,5; 22,2; 21,8; 21,4; 21,0
"111161 Datatilsynet "; 21,2; 21,0; 22,8; 23,0; 22,6; 22,2
"11116110 Almindelig virksomhed "; 21,2; 21,0; 22,8; 23,0; 22,6; 22,2
"111162 Tilsynet med Efterretningstjenesterne "; 5,7; 8,2; 8,2; 8,1; 8,0; 7,8
"11116210 Almindelig virksomhed "; 5,7; 8,2; 8,2; 8,1; 8,0; 7,8
"111163 Offerfonden "; 28,3; 0,0; 0,0; 0,0; 0,0; 0,0
"11116310 Offerfond "; 28,3; 0,0; 0,0; 0,0; 0,0; 0,0
"111171 Information og uddannelse af bistandsværger "; 0,8; 0,6; 0,6; 0,6; 0,6; 0,6
"11117110 Information og uddannelse af bistandsværger "; 0,8; 0,6; 0,6; 0,6; 0,6; 0,6
"111173 Tilskud til børnehuse "; 0,0; 0,0; 6,7; 0,0; 0,0; 0,0
"11117310 Tilskud til børnehuse "; 0,0; 0,0; 6,7; 0,0; 0,0; 0,0
"111179 Reserver og budgetregulering "; 0,0; 7,2; -0,9; 433,9; 423,4; 412,5
"11117930 Reserver "; 0,0; 4,0; 4,0; 4,7; 3,9; 3,8
"11117940 Lønsumsreserve "; 0,0; 3,2; 3,3; 3,3; 4,1; 4,1
"11117955 Reserve vedr. kriminalforsorgen (løn) "; 0,0; 0,0; 0,0; 334,3; 327,5; 320,9
"11117956 Reserve vedr. kriminalforsorgen (øvrig drift)"; 0,0; 0,0; 0,0; 101,0; 99,0; 97,0
"11117970 Omlægning af Barselsfonden "; 0,0; 0,0; -8,2; -9,4; -11,1; -13,3
"112 Politiet og anklagemyndigheden mv. "; 8790,9; 8995,5; 9086,5; 8982,1; 8945,7; 8152,8
"1121 Fællesudgifter "; 539,8; 515,4; 500,2; 500,2; 500,2; 500,2
"112121 Strafferetspleje mv. "; 539,8; 515,4; 500,2; 500,2; 500,2; 500,2
"11212110 Strafferetsplejen mv. "; 539,8; 515,4; 500,2; 500,2; 500,2; 500,2
"1123 Politiet og anklagemyndigheden "; 8251,1; 8480,1; 8586,3; 8481,9; 8445,5; 7652,6
"112301 Politiet og den lokale anklagemyndighed mv. "; 8615,2; 8580,4; 8714,3; 8608,6; 8582,8; 8015,5
"11230110 Almindelig virksomhed "; 8585,1; 8550,1; 8683,9; 8578,2; 8552,4; 7985,1
"11230120 Erstatninger "; 24,2; 24,4; 24,5; 24,5; 24,5; 24,5
"11230130 Diverse tilskud "; 5,9; 5,9; 5,9; 5,9; 5,9; 5,9
"11230160 Politiets internationale beredskab "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"11230197 Øvrige tilskudsfinansierede aktiviteter "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"112302 Bøder, park.afg., kørekort mv. "; -1413,2; -1355,0; -1459,5; -1461,4; -1461,4; -1461,4
"11230210 Bøder, konfiskationer og gebyrer "; -1374,7; -1355,0; -2263,2; -2265,1; -2265,1; -2265,1
"11230220 Offerfonden "; -38,4; 0,0; -19,2; -19,2; -19,2; -19,2
"11230230 afskrivning af bøder mv. "; 0,0; 0,0; 803,7; 803,7; 803,7; 803,7
"11230240 Afskrivning af offerbidrag "; 0,0; 0,0; 19,2; 19,2; 19,2; 19,2
"112303 Radiokommunikation "; 123,2; 116,8; 126,1; 122,2; 122,2; 122,0
"11230320 Drift af radionettet "; 68,3; 59,4; 67,0; 69,8; 69,8; 69,6
"11230330 Adgang til radionetværk "; 52,4; 52,4; 52,4; 52,4; 52,4; 52,4
"11230340 Implementeringsreserve "; 2,5; 5,0; 6,7; 0,0; 0,0; 0,0
"112304 Den Centrale Anklagemyndighed "; 306,4; 310,0; 313,5; 313,2; 313,2; 306,8
"11230410 Almindelig virksomhed "; 306,4; 310,0; 313,5; 313,2; 313,2; 306,8
"112306 Erstatn. i anledn. af strafferetlig forfølgn. "; 25,6; 33,9; 31,9; 31,9; 31,9; 31,9
"11230610 Erstatninger "; 25,6; 33,9; 31,9; 31,9; 31,9; 31,9
"112307 Kommunal parkeringskontrol "; -100,9; -104,7; -105,7; -105,7; -105,7; -105,7
"11230710 Parkeringskontrol "; -100,9; -104,7; -105,7; -105,7; -105,7; -105,7
"112311 Erstatning til ofre for forbrydelser "; 103,7; 172,3; 153,1; 153,1; 153,1; 153,1
"11231110 Erstatn. t. ofre for forbryd., LBK 688 2004 "; 103,7; 172,3; 153,1; 153,1; 153,1; 153,1
"112313 Det Kriminalpræventive Råd "; 11,1; 6,8; 4,5; 3,8; 3,7; 3,6
"11231310 Det Kriminalpræventive Råd "; 11,1; 6,8; 4,5; 3,8; 3,7; 3,6
"112316 Politiets Efterretningstjeneste "; 580,0; 719,6; 808,1; 816,2; 805,7; 586,8
"11231610 Almindelig virksomhed "; 580,0; 719,6; 808,1; 816,2; 805,7; 586,8
"11231697 Andre tilskudsfinansierede aktiviteter "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"113 Kriminalforsorg "; 3054,3; 3044,7; 3028,4; 2481,3; 2428,8; 2375,9
"1131 Kriminalforsorg "; 3054,3; 3044,7; 3028,4; 2481,3; 2428,8; 2375,9
"113101 Direktoratet for Kriminalforsorgen "; 134,3; 145,7; 142,5; 112,5; 110,3; 108,9
"11310110 Almindelig virksomhed "; 132,6; 144,0; 140,8; 110,8; 108,6; 107,2
"11310120 Idrætsforeninger mv. "; 1,6; 1,6; 1,6; 1,6; 1,6; 1,6
"11310140 Erstatninger "; 0,1; 0,1; 0,1; 0,1; 0,1; 0,1
"113103 Kriminalforsorgen i anstalter og frihed "; 2920,0; 2899,0; 2885,9; 2368,8; 2318,5; 2267,0
"11310310 Almindelig virksomhed "; 2920,0; 2893,5; 2878,9; 2361,9; 2311,0; 2266,9
"11310320 Produktionsvirksomhed "; 0,0; 0,0; 0,1; 0,1; 0,1; 0,1
"11310350 Håndholdt inklusion "; 0,0; 4,0; 5,1; 5,1; 5,1; 0,0
"11310360 resocialisering "; 0,0; 1,5; 1,8; 1,7; 2,3; 0,0
"114 Retsvæsenet "; 1944,0; 1984,5; 1976,2; 1959,8; 1922,0; 1886,7
"1141 Fællesudgifter "; 1804,1; 1808,0; 1833,6; 1817,2; 1779,8; 1744,5
"114101 Domstolsstyrelsen "; 71,5; 75,2; 78,4; 77,5; 75,3; 73,9
"11410110 Almindelig virksomhed "; 69,2; 72,9; 76,1; 75,2; 73,0; 71,6
"11410120 Domstolsstyrelsens bestyrelse "; 1,5; 1,5; 1,5; 1,5; 1,5; 1,5
"11410130 Dommerudn.rådene for DK, Færøerne og Grønland"; 0,8; 0,8; 0,8; 0,8; 0,8; 0,8
"114102 Retterne "; 1600,7; 1623,9; 1646,5; 1639,5; 1606,7; 1574,7
"11410210 Almindelig virksomhed "; 1600,7; 1623,9; 1646,5; 1639,5; 1606,7; 1574,7
"114104 Procesbevillingsnævnet "; 19,1; 19,1; 20,6; 20,5; 20,1; 19,7
"11410410 Almindelig virksomhed "; 19,1; 19,1; 20,6; 20,5; 20,1; 19,7
"114105 Tinglysning "; 112,8; 89,8; 88,1; 79,7; 77,7; 76,2
"11410510 Tinglysning "; 98,7; 75,7; 73,9; 76,5; 77,0; 76,2
"11410520 Udvikling af digitalt tinglysningssystem "; 14,1; 14,1; 14,2; 3,2; 0,7; 0,0
"1142 Sagsudgifter "; 557,1; 605,0; 569,6; 569,6; 569,2; 569,2
"114201 Sagsgodtgørelser mv. "; 94,1; 91,2; 91,7; 91,7; 91,5; 91,5
"11420110 Sagsgodtgørelser mv. "; 94,1; 91,2; 91,7; 91,7; 91,5; 91,5
"114202 Fri proces og udgifter til advokathjælp "; 461,9; 510,5; 474,6; 474,6; 474,4; 474,4
"11420210 Fri proces og udgifter til advokathjælp "; 461,9; 510,5; 474,6; 474,6; 474,4; 474,4
"114203 Erstatninger "; 1,1; 3,3; 3,3; 3,3; 3,3; 3,3
"11420310 Erstatninger "; 1,1; 3,3; 3,3; 3,3; 3,3; 3,3
"1143 Sagsindtægter "; -417,2; -428,5; -427,0; -427,0; -427,0; -427,0
"114301 Retsafgifter mv. "; -417,2; -428,5; -427,0; -427,0; -427,0; -427,0
"11430110 Retsafgifter mv. "; -417,2; -428,5; -427,0; -427,0; -427,0; -427,0
"12 Forsvarsministeriet "; 20295,8; 21040,6; 21570,7; 20953,2; 20532,7; 20068,0
"121 Fællesudgifter "; 11244,6; 11840,4; 12014,6; 11678,1; 11436,7; 11142,5
"1211 Centralstyrelsen "; 390,8; 945,7; 918,3; 1130,6; 1198,0; 1193,2
"121101 Departementet "; 318,8; 355,1; 273,2; 263,8; 258,5; 253,4
"12110110 Almindelig virksomhed "; 280,1; 307,9; 261,1; 251,7; 246,4; 241,3
"12110120 Christiansø "; 11,5; 12,0; 12,1; 12,1; 12,1; 12,1
"12110140 Nyt kampflyprogram "; 27,2; 35,2; 0,0; 0,0; 0,0; 0,0
"121102 Generelle puljer og reserver "; 72,0; 693,8; 788,3; 1011,1; 1085,5; 1088,0
"12110210 Centralt styrede initiativer "; -10,6; 111,0; 200,4; 434,2; 519,9; 533,8
"12110250 Freds- og Stabiliseringsfonden "; 72,7; 71,3; 71,8; 81,0; 79,4; 77,8
"12110260 Internationalt Sikkerhedssamarbejde "; 10,0; 10,0; 10,1; 0,0; 0,0; 0,0
"12110270 Reserve vedr. internationale operationer "; 0,0; 501,5; 506,0; 495,9; 486,2; 476,4
"121179 Reserver og budgetregulering "; 0,0; -103,2; -143,2; -144,3; -146,0; -148,2
"12117970 Styrkelse af FE's indsats mod terror "; 0,0; -103,2; -134,9; -134,9; -134,9; -134,9
"12117980 Omlægning af Barselsfonden "; 0,0; 0,0; -8,3; -9,4; -11,1; -13,3
"1212 Personale "; 2025,6; 2043,2; 1706,1; 1634,1; 1600,2; 1570,7
"121201 FMN Personalestyrelse, Egen virksomhed "; 1666,2; 468,6; 412,3; 378,3; 366,6; 356,7
"12120110 Almindelig virksomhed "; 1507,3; 323,0; 272,0; 261,2; 255,7; 249,8
"12120120 Veterancenter "; 158,9; 145,6; 140,3; 117,1; 110,9; 106,9
"12120160 Forsvarets Center for Arbejdsmiljø "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"121202 FMN Personalestyrelse, Funktionel virksomhed "; 333,4; 1212,8; 1203,4; 1167,3; 1146,8; 1128,9
"12120210 Funktionel Virksomhed "; 0,0; 583,5; 577,6; 544,5; 532,9; 515,7
"12120220 Værnepligtige "; 0,0; 305,3; 305,3; 305,3; 299,3; 299,3
"12120230 Erstatninger ifm. internationale operationer "; 333,4; 324,0; 320,5; 317,5; 314,6; 313,9
"121203 FMN Personalestyrelse, Centralt Styrede Enhed "; 26,1; 361,8; 90,4; 88,5; 86,8; 85,1
"12120310 Centralt Styrede Enheder "; 0,0; 329,7; 57,5; 55,6; 53,8; 52,1
"12120320 Forsvarets Auditørkorps "; 15,3; 19,8; 20,6; 20,6; 20,7; 20,7
"12120330 Den danske repræsentation ved NATO "; 10,8; 12,3; 12,3; 12,3; 12,3; 12,3
"1213 Materiel og IT "; 7048,9; 6810,7; 7415,9; 7125,0; 6934,4; 6711,9
"121301 Materiel- og Indkøbsstyrelse "; 1227,8; 918,1; 956,4; 935,6; 892,1; 864,7
"12130110 Almindelig virksomhed "; 1227,8; 918,1; 956,4; 935,6; 892,1; 864,7
"121302 Materieldrift "; 4745,3; 3821,7; 3707,6; 3633,1; 3560,5; 3489,4
"12130210 Materieldrift "; 4745,3; 3821,7; 3707,6; 3633,1; 3560,5; 3489,4
"121303 Kapacitetsplan it "; 569,4; 498,6; 409,3; 409,2; 385,4; 363,2
"12130310 Kapacitetsplan it "; 569,4; 498,6; 409,3; 409,2; 385,4; 363,2
"121304 Materielanskaffelser "; 506,4; 1572,3; 2342,6; 2147,1; 2096,4; 1994,6
"12130410 Anlæg og materielinvesteringer "; 506,4; 1572,3; 2342,6; 2147,1; 2096,4; 1994,6
"1214 Ejendomme "; 1705,5; 1963,0; 1877,7; 1693,7; 1613,3; 1577,7
"121401 Forsvarsministeriets Ejendomsstyrelse "; 333,2; 320,0; 314,4; 254,9; 215,3; 207,2
"12140110 Almindelig virksomhed "; 333,2; 320,0; 314,4; 254,9; 215,3; 207,2
"121402 Etablissementsdrift "; 1327,4; 1385,1; 1299,2; 1174,7; 1133,9; 1106,4
"12140210 Etablissementsdrift "; 1329,9; 1385,1; 1299,2; 1174,7; 1133,9; 1106,4
"12140290 Indtægtsdækket virksomhed "; -2,6; 0,0; 0,0; 0,0; 0,0; 0,0
"121403 Bygge- og anlægsarbejder "; 183,5; 257,9; 264,1; 264,1; 264,1; 264,1
"12140310 Bygge- og anlægsarbejder "; 183,5; 257,9; 264,1; 264,1; 264,1; 264,1
"121404 Provenu ved afhændelse af ejendomme "; -138,6; 0,0; 0,0; 0,0; 0,0; 0,0
"12140410 Provenu ved afhændelse af ejendomme "; -138,6; 0,0; 0,0; 0,0; 0,0; 0,0
"1215 Regnskab "; 73,9; 77,8; 96,6; 94,7; 90,8; 89,0
"121501 Forsvarsministeriets Regnskabsstyrelse "; 73,9; 77,8; 96,6; 94,7; 90,8; 89,0
"12150110 Almindelig virksomhed "; 73,9; 77,8; 96,6; 94,7; 90,8; 89,0
"122 Militært forsvar "; 8568,0; 8766,9; 9090,0; 8836,6; 8666,1; 8504,1
"1223 Værnsfælles Forsvarskommando "; 7112,1; 7077,7; 7410,4; 7269,8; 7118,0; 6976,5
"122301 Værnsfælles Forsvarskommando "; 625,0; 484,9; 816,0; 782,8; 767,1; 752,0
"12230110 Almindelig virksomhed "; 625,0; 484,9; 552,2; 515,1; 504,9; 494,9
"12230120 Internationale stabe "; 0,0; 0,0; 263,8; 267,7; 262,2; 257,1
"122302 Hæren "; 3099,5; 2807,8; 2900,3; 2852,2; 2794,9; 2739,3
"12230210 Almindelig virksomhed "; 3099,5; 2807,8; 2900,3; 2852,2; 2794,9; 2739,3
"122303 Søværnet "; 1130,9; 1216,5; 1199,4; 1171,1; 1148,2; 1125,2
"12230310 Almindelig virksomhed "; 1130,9; 1216,5; 1199,4; 1171,1; 1148,2; 1125,2
"122304 Flyvevåbnet "; 1651,6; 1531,7; 1480,1; 1459,8; 1424,1; 1395,8
"12230410 Almindelig virksomhed "; 1651,6; 1531,7; 1480,1; 1459,8; 1424,1; 1395,8
"122306 Specialoperationer "; 193,8; 232,8; 218,7; 214,3; 210,0; 205,9
"12230610 Specialoperationer "; 193,8; 232,8; 218,7; 214,3; 210,0; 205,9
"122307 Forsvarets Hovedværksteder "; 0,0; 312,6; 338,0; 331,3; 324,6; 318,1
"12230710 Almindelig virksomhed "; 0,0; 312,6; 338,0; 331,3; 324,6; 318,1
"122320 Forsvarsakademiet "; 282,1; 362,2; 324,5; 328,3; 321,8; 315,4
"12232010 Almindelig virksomhed "; 282,1; 362,2; 324,5; 328,3; 321,8; 315,4
"12232095 Tilskudsfinansieret forskningsvirksomhed "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"122321 Forsvarets Sundhedstjeneste "; 129,2; 129,2; 133,4; 130,0; 127,3; 124,8
"12232110 Almindelig virksomhed "; 129,2; 129,2; 133,4; 130,0; 127,3; 124,8
"1224 Hjemmeværnet "; 461,5; 489,8; 495,6; 411,6; 398,4; 390,4
"122401 Hjemmeværnet "; 461,5; 489,8; 495,6; 411,6; 398,4; 390,4
"12240110 Almindelig virksomhed "; 461,5; 489,8; 495,6; 411,6; 398,4; 390,4
"1225 Forsvarets Efterretningstjeneste "; 699,7; 827,7; 871,4; 870,7; 853,2; 838,2
"122501 Forsvarets Efterretningstjeneste "; 699,7; 827,7; 871,4; 870,7; 853,2; 838,2
"12250110 Almindelig virksomhed "; 699,7; 827,7; 871,4; 870,7; 853,2; 838,2
"1229 Særlige udgifter vedr. NATO "; 294,7; 371,7; 312,6; 284,5; 296,5; 299,0
"122901 Bidrag til NATOs militære driftsbudgetter mv. "; 227,7; 267,7; 225,0; 204,1; 216,1; 218,6
"12290110 Formål i udlandet "; 227,7; 267,7; 225,0; 204,1; 216,1; 218,6
"122911 Bidrag til NATO-investeringsprogram "; 65,6; 96,0; 80,4; 80,4; 80,4; 80,4
"12291110 Bidrag til NATO-investeringsprogram "; 65,6; 96,0; 80,4; 80,4; 80,4; 80,4
"122913 NATO-investeringsprogram "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"12291310 Internationalt NATO-investeringsprogram "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"122915 Nationalt NATO-investeringsprogram "; 1,3; 8,0; 7,2; 0,0; 0,0; 0,0
"12291510 Nationalt NATO-investeringsprogram "; 1,3; 8,0; 7,2; 0,0; 0,0; 0,0
"124 Redningsberedskab "; 483,2; 433,3; 466,1; 438,5; 429,9; 421,4
"1241 Redningsberedskab "; 483,2; 433,3; 466,1; 438,5; 429,9; 421,4
"124101 Redningsberedskabet "; 469,1; 494,1; 451,7; 424,1; 415,5; 407,0
"12410110 Almindelig virksomhed "; 469,1; 495,5; 453,1; 425,5; 416,9; 408,4
"12410160 Sikkerhedssamarbejde, Redningsberedskabet "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"12410170 Afgifter og gebyrer "; 0,0; -1,4; -1,4; -1,4; -1,4; -1,4
"12410190 Indtægtsdækket virksomhed "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"124103 Beredskabsforbundet "; 14,1; 14,3; 14,4; 14,4; 14,4; 14,4
"12410310 Beredskabsforbundet, løn "; 7,8; 7,9; 7,9; 7,9; 7,9; 7,9
"12410320 Beredskabsforbundet, øvrige driftsudgifter "; 6,3; 6,4; 6,5; 6,5; 6,5; 6,5
"124179 Reserver og budgetregulering "; 0,0; -75,1; 0,0; 0,0; 0,0; 0,0
"12417960 Omprioritering i Redningsberedskabet "; 0,0; -75,1; 0,0; 0,0; 0,0; 0,0
"14 Udlændinge-, Integrations-, og Boligmin. "; -3828,2; 9434,2; 11278,8; 10475,7; 9172,7; 9039,7
"141 Fællesudgifter "; 334,2; -168,6; 561,6; 508,7; 479,4; 480,9
"1411 Centralstyrelsen "; 138,1; -384,0; 210,4; 196,8; 203,5; 206,9
"141101 Departementet "; 137,5; 179,7; 199,7; 182,2; 176,0; 174,6
"14110110 Almindelig virksomhed "; 141,5; 179,7; 199,7; 182,2; 176,0; 174,6
"14110197 Andre tilskudsfinansierede aktiviteter "; -4,0; 0,0; 0,0; 0,0; 0,0; 0,0
"141102 Evaluering, analyse af integration "; 0,6; 3,4; 3,0; 2,9; 2,9; 2,9
"14110220 Styrkelse af integrationsindsatsen "; 0,6; 3,0; 2,4; 2,4; 2,4; 2,4
"14110250 Evaluering, analyse, forskning og oplysning "; 0,0; 0,4; 0,6; 0,5; 0,5; 0,5
"141177 Reserver vedrørende kommunale serviceudgifter "; 0,0; 65,7; 0,0; 0,0; 0,0; 0,0
"14117710 Reserve vedrørende kommunale serviceudgifter "; 0,0; 65,7; 0,0; 0,0; 0,0; 0,0
"141178 Reserver kommunale indkomstoverførsler "; 0,0; -636,0; 0,0; 0,0; 0,0; 0,0
"14117810 Reserve vedrørende budgetgaranterede indkoms "; 0,0; -648,5; 0,0; 0,0; 0,0; 0,0
"14117820 øvrige indkomstoverførsler "; 0,0; 12,5; 0,0; 0,0; 0,0; 0,0
"141179 Reserver og budgetregulering "; 0,0; 3,2; 7,7; 11,7; 24,6; 29,4
"14117920 Reserve - Øvrig drift "; 0,0; 0,2; 0,2; 0,2; 0,2; 0,1
"14117950 Res. vedr. forebyggelse af radikalisering mv."; 0,0; 3,0; 0,0; 0,0; 0,0; 0,0
"14117970 Reserve vedrørende personer på tålt ophold "; 0,0; 0,0; 7,8; 11,8; 24,8; 29,8
"14117980 Budgetregulering barselsfonden "; 0,0; 0,0; -0,3; -0,3; -0,4; -0,5
"1419 Øvrige fællesudgifter "; 196,1; 215,4; 351,2; 311,9; 275,9; 274,0
"141901 Sekretariatbistand til udlændingenævnene "; 46,8; 50,6; 91,1; 85,8; 72,7; 72,5
"14190110 Almindelig virksomhed "; 46,8; 50,6; 91,1; 85,8; 72,7; 72,5
"141902 Flygtningenævnet "; 79,1; 77,8; 168,8; 135,7; 113,6; 113,6
"14190210 Almindelig virksomhed "; 79,1; 77,8; 168,8; 135,7; 113,6; 113,6
"141903 Udlændingenævnet "; 11,1; 10,0; 9,9; 9,7; 9,5; 9,3
"14190310 Almindelig virksomhed "; 11,1; 10,0; 9,9; 9,7; 9,5; 9,3
"141910 It-understøttelse af udlændingesagskæden "; 50,7; 68,6; 73,1; 72,6; 72,2; 70,9
"14191010 Almindelig virksomhed "; 50,7; 68,6; 73,1; 72,6; 72,2; 70,9
"141911 Det fælles europæiske visuminformationssystem "; 8,4; 8,4; 8,3; 8,1; 7,9; 7,7
"14191110 Udvikling og drift "; 8,4; 8,4; 8,3; 8,1; 7,9; 7,7
"142 International Rekruttering og Integration "; 27,3; 29,7; 32,4; 30,2; 27,4; 26,0
"1421 Fællesudgifter "; 27,3; 29,7; 32,4; 30,2; 27,4; 26,0
"142101 Styrelsen for International Rekruttering mv. "; 21,6; 31,5; 33,7; 32,3; 29,8; 28,5
"14210110 Almindelig virksomhed "; 15,6; 24,9; 27,2; 26,3; 23,8; 22,5
"14210120 International rekruttering "; 6,0; 11,4; 11,3; 10,8; 10,8; 10,8
"14210129 Budgetregulering - medfinansieringsbidrag "; 0,0; -4,8; -4,8; -4,8; -4,8; -4,8
"14210197 Andre tilskudsfinansierede aktiviteter "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"142102 Udvikling af prøver i dansk mv. "; 5,7; 6,2; 5,1; 4,3; 4,0; 3,9
"14210210 Indfødsretsprøven "; 0,0; 0,4; 0,4; 0,4; 0,4; 0,4
"14210211 Prøver i dansk som andetsprog "; 5,7; 5,4; 4,3; 3,6; 3,3; 3,2
"14210212 Danskprøver for ægtefæller og indvandringspr."; 0,0; 0,4; 0,3; 0,2; 0,2; 0,2
"14210213 Medborgerskabsprøven "; 0,0; 0,0; 0,1; 0,1; 0,1; 0,1
"142103 Finansieringsbidrag au pairs "; 0,0; -8,0; -6,4; -6,4; -6,4; -6,4
"14210310 Finansieringsbidrag vedr. au pairs "; 0,0; -8,0; -6,4; -6,4; -6,4; -6,4
"143 Udlændinge "; 2987,0; 4321,4; 4226,6; 3784,2; 3750,2; 3806,3
"1431 Fællesudgifter "; 496,9; 588,3; 602,0; 490,9; 492,6; 503,0
"143101 Udlændingestyrelsen "; 408,0; 468,4; 502,8; 396,7; 398,5; 408,9
"14310110 Almindelig virksomhed "; 346,6; 370,5; 383,7; 322,3; 324,1; 334,4
"14310120 Sagsunderstøttende aktiviteter på asylområdet"; 56,9; 94,4; 116,2; 72,0; 72,0; 72,0
"14310130 Drift af danskprøven "; 1,5; 0,5; 0,4; 0,4; 0,4; 0,4
"14310150 Asylansøgeres adgang til arbejdsmarkedet "; 9,0; 9,0; 8,6; 8,1; 8,1; 8,1
"14310170 Budgetregulering "; -5,9; -5,9; -6,0; -6,0; -6,0; -5,9
"14310176 Indtægter fra Udenrigsministeriet "; -0,1; -0,1; -0,1; -0,1; -0,1; -0,1
"14310197 Andre tilskudsfinansierede aktiviteter "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"143102 Tilskud og samarbejdspartnere "; 28,1; 32,1; 23,4; 22,4; 22,3; 22,3
"14310210 Tilskud til Dansk Røde Kors sekretariatsvirk."; 5,5; 5,4; 5,3; 5,2; 5,2; 5,2
"14310240 Tilskud til Dansk Flygtningehjælps sekr. "; 4,1; 4,0; 3,9; 3,8; 3,7; 3,7
